Date,España,Italia,Turquia
2020-06-20 00:00:00+00:00,245938.0,238275.0,186493
2020-06-21 00:00:00+00:00,246272.0,238499.0,187685
2020-06-22 00:00:00+00:00,246504.0,238720.0,188897
2020-06-23 00:00:00+00:00,246752.0,238833.0,190165
2020-06-24 00:00:00+00:00,247086.0,239410.0,191657
2020-06-25 00:00:00+00:00,247486.0,239706.0,193115
2020-06-26 00:00:00+00:00,247905.0,239961.0,194511
2020-06-27 00:00:00+00:00,248469.0,240136.0,195883
2020-06-28 00:00:00+00:00,248770.0,240310.0,197239
2020-06-29 00:00:00+00:00,248970.0,240436.0,198613
2020-06-30 00:00:00+00:00,249271.0,240578.0,199906
2020-07-01 00:00:00+00:00,249659.0,240760.0,201098
2020-07-02 00:00:00+00:00,250103.0,240961.0,202284
2020-07-03 00:00:00+00:00,250545.0,241184.0,203456
2020-07-04 00:00:00+00:00,250545.0,241419.0,204610
2020-07-05 00:00:00+00:00,250545.0,241611.0,205758
2020-07-06 00:00:00+00:00,251789.0,241819.0,206844
2020-07-07 00:00:00+00:00,252130.0,241956.0,207897
2020-07-08 00:00:00+00:00,252513.0,242149.0,208938
2020-07-09 00:00:00+00:00,253056.0,242363.0,209962
2020-07-10 00:00:00+00:00,253908.0,242639.0,210965
2020-07-11 00:00:00+00:00,253908.0,242827.0,211981
2020-07-12 00:00:00+00:00,253908.0,243061.0,212993
2020-07-13 00:00:00+00:00,255953.0,243230.0,214001
2020-07-14 00:00:00+00:00,256619.0,243344.0,214993
2020-07-15 00:00:00+00:00,257494.0,243506.0,215940
2020-07-16 00:00:00+00:00,258855.0,243736.0,216873
2020-07-17 00:00:00+00:00,260255.0,243967.0,217799
2020-07-18 00:00:00+00:00,260255.0,244216.0,218717
2020-07-19 00:00:00+00:00,260255.0,244434.0,219641
2020-07-20 00:00:00+00:00,264836.0,244624.0,220572
2020-07-21 00:00:00+00:00,266194.0,244752.0,221500
2020-07-22 00:00:00+00:00,267551.0,245032.0,222402
2020-07-23 00:00:00+00:00,270166.0,245338.0,223315
2020-07-24 00:00:00+00:00,272421.0,245590.0,224252
2020-07-25 00:00:00+00:00,272421.0,245864.0,225173
2020-07-26 00:00:00+00:00,272421.0,246118.0,226100
2020-07-27 00:00:00+00:00,278782.0,246286.0,227019
2020-07-28 00:00:00+00:00,280610.0,246488.0,227982
2020-07-29 00:00:00+00:00,282641.0,246776.0,228924
2020-07-30 00:00:00+00:00,285430.0,247158.0,229891
2020-07-31 00:00:00+00:00,288522.0,247537.0,230873
2020-08-01 00:00:00+00:00,288522.0,247832.0,231869
2020-08-02 00:00:00+00:00,288522.0,248070.0,232856
2020-08-03 00:00:00+00:00,297054.0,248229.0,233851
2020-08-04 00:00:00+00:00,302814.0,248419.0,234934
2020-08-05 00:00:00+00:00,305767.0,248803.0,236112
2020-08-06 00:00:00+00:00,309855.0,249204.0,237265
2020-08-07 00:00:00+00:00,314362.0,249756.0,238450
2020-08-08 00:00:00+00:00,314362.0,250103.0,239622
2020-08-09 00:00:00+00:00,314362.0,250566.0,240804
2020-08-10 00:00:00+00:00,322980.0,250825.0,241997
2020-08-11 00:00:00+00:00,326612.0,251237.0,243180
2020-08-12 00:00:00+00:00,329784.0,251713.0,244392
2020-08-13 00:00:00+00:00,337334.0,252235.0,245635
2020-08-14 00:00:00+00:00,342813.0,252809.0,246861
2020-08-15 00:00:00+00:00,342813.0,253438.0,248117
2020-08-16 00:00:00+00:00,342813.0,253915.0,249309
2020-08-17 00:00:00+00:00,359082.0,254235.0,250542
2020-08-18 00:00:00+00:00,364196.0,254636.0,251805
2020-08-19 00:00:00+00:00,370867.0,255278.0,253108
2020-08-20 00:00:00+00:00,377906.0,256118.0,254520
2020-08-21 00:00:00+00:00,386054.0,257065.0,255723
2020-08-22 00:00:00+00:00,386054.0,258136.0,257032
2020-08-23 00:00:00+00:00,386054.0,259345.0,258249
2020-08-24 00:00:00+00:00,405436.0,260298.0,259692
2020-08-25 00:00:00+00:00,412553.0,261174.0,261194
2020-08-26 00:00:00+00:00,419849.0,262540.0,262507
2020-08-27 00:00:00+00:00,429507.0,263949.0,263998
2020-08-28 00:00:00+00:00,439286.0,265409.0,265515
2020-08-29 00:00:00+00:00,439286.0,266853.0,267064
2020-08-30 00:00:00+00:00,439286.0,268218.0,268546
2020-08-31 00:00:00+00:00,462858.0,269214.0,270133
2020-09-01 00:00:00+00:00,470973.0,270189.0,271705
2020-09-02 00:00:00+00:00,479554.0,271515.0,273301
2020-09-03 00:00:00+00:00,488513.0,272912.0,274943
2020-09-04 00:00:00+00:00,498989.0,274644.0,276555
2020-09-05 00:00:00+00:00,498989.0,276338.0,278228
2020-09-06 00:00:00+00:00,498989.0,277634.0,279806
2020-09-07 00:00:00+00:00,525549.0,278784.0,281509
2020-09-08 00:00:00+00:00,534513.0,280153.0,283270
2020-09-09 00:00:00+00:00,543379.0,281583.0,284943
2020-09-10 00:00:00+00:00,554143.0,283180.0,286455
2020-09-11 00:00:00+00:00,566326.0,284796.0,288126
2020-09-12 00:00:00+00:00,566326.0,286297.0,289635
2020-09-13 00:00:00+00:00,566326.0,287753.0,291162
2020-09-14 00:00:00+00:00,593730.0,288761.0,292878
2020-09-15 00:00:00+00:00,603167.0,289990.0,294620
2020-09-16 00:00:00+00:00,614360.0,291442.0,296391
2020-09-17 00:00:00+00:00,625651.0,293025.0,298039
2020-09-18 00:00:00+00:00,640040.0,294932.0,299810
2020-09-19 00:00:00+00:00,640040.0,296569.0,301348
2020-09-20 00:00:00+00:00,640040.0,298156.0,302867
2020-09-21 00:00:00+00:00,671468.0,299506.0,304610
2020-09-22 00:00:00+00:00,682267.0,300897.0,306302
2020-09-23 00:00:00+00:00,693556.0,302537.0,308069
2020-09-24 00:00:00+00:00,704209.0,304323.0,309790
2020-09-25 00:00:00+00:00,716481.0,306235.0,311455
2020-09-26 00:00:00+00:00,716481.0,308104.0,312966
2020-09-27 00:00:00+00:00,716481.0,309870.0,314433
2020-09-28 00:00:00+00:00,748266.0,311364.0,315845
2020-09-29 00:00:00+00:00,748266.0,313011.0,317272
2020-09-30 00:00:00+00:00,769188.0,314861.0,318663
2020-10-01 00:00:00+00:00,778607.0,317409.0,320070
2020-10-02 00:00:00+00:00,789932.0,319908.0,321512
2020-10-03 00:00:00+00:00,789932.0,322751.0,323014
2020-10-04 00:00:00+00:00,789932.0,325329.0,324443
2020-10-05 00:00:00+00:00,813412.0,327586.0,326046
2020-10-06 00:00:00+00:00,825410.0,330263.0,327557
2020-10-07 00:00:00+00:00,835901.0,333940.0,329138
2020-10-08 00:00:00+00:00,848324.0,338398.0,330753
2020-10-09 00:00:00+00:00,861112.0,343770.0,332382
2020-10-10 00:00:00+00:00,861112.0,349494.0,334031
2020-10-11 00:00:00+00:00,861112.0,354950.0,335533
2020-10-12 00:00:00+00:00,888968.0,359569.0,337147
2020-10-13 00:00:00+00:00,896086.0,365467.0,338779
2020-10-14 00:00:00+00:00,908056.0,372799.0,340450
2020-10-15 00:00:00+00:00,921374.0,381602.0,342143
2020-10-16 00:00:00+00:00,936560.0,391611.0,343955
2020-10-17 00:00:00+00:00,936560.0,402536.0,345678
2020-10-18 00:00:00+00:00,936560.0,414241.0,347493
2020-10-19 00:00:00+00:00,974449.0,423578.0,349519
2020-10-20 00:00:00+00:00,988322.0,434449.0,351413
2020-10-21 00:00:00+00:00,1005295.0,449648.0,353426
2020-10-22 00:00:00+00:00,1026281.0,465726.0,355528
2020-10-23 00:00:00+00:00,1046132.0,484869.0,357693
2020-10-24 00:00:00+00:00,1046132.0,504509.0,359784
2020-10-25 00:00:00+00:00,1046132.0,525782.0,361801
2020-10-26 00:00:00+00:00,1098320.0,542789.0,363999
2020-10-27 00:00:00+00:00,1116738.0,564778.0,366208
2020-10-28 00:00:00+00:00,1136503.0,589766.0,368513
2020-10-29 00:00:00+00:00,1160083.0,616595.0,370832
2020-10-30 00:00:00+00:00,1185678.0,647674.0,373154
2020-10-31 00:00:00+00:00,1185678.0,679430.0,375367
2020-11-01 00:00:00+00:00,1185678.0,709335.0,377473
2020-11-02 00:00:00+00:00,1240697.0,731588.0,379775
2020-11-03 00:00:00+00:00,1259366.0,759829.0,382118
2020-11-04 00:00:00+00:00,1284408.0,790377.0,384509
2020-11-05 00:00:00+00:00,1306316.0,824879.0,386820
2020-11-06 00:00:00+00:00,1328832.0,862681.0,389256
2020-11-07 00:00:00+00:00,1328832.0,902490.0,391739
2020-11-08 00:00:00+00:00,1328832.0,935104.0,394255
2020-11-09 00:00:00+00:00,1381218.0,960373.0,396831
2020-11-10 00:00:00+00:00,1381218.0,995463.0,399360
2020-11-11 00:00:00+00:00,1417709.0,1028424.0,402053
2020-11-12 00:00:00+00:00,1437220.0,1066401.0,404894
2020-11-13 00:00:00+00:00,1458591.0,1107303.0,407939
2020-11-14 00:00:00+00:00,1458591.0,1144552.0,411055
2020-11-15 00:00:00+00:00,1458591.0,1178529.0,414278
2020-11-16 00:00:00+00:00,1496864.0,1205881.0,417594
2020-11-17 00:00:00+00:00,1510023.0,1238072.0,421413
2020-11-18 00:00:00+00:00,1525341.0,1272352.0,425628
2020-11-19 00:00:00+00:00,1541574.0,1308528.0,430170
2020-11-20 00:00:00+00:00,1556730.0,1345767.0,435273
2020-11-21 00:00:00+00:00,1556730.0,1380531.0,440805
2020-11-22 00:00:00+00:00,1556730.0,1408868.0,446822
2020-11-23 00:00:00+00:00,1582616.0,1431795.0,453535
2020-11-24 00:00:00+00:00,1594844.0,1455022.0,460916
2020-11-25 00:00:00+00:00,1605066.0,1480874.0,467730
2020-11-26 00:00:00+00:00,1617355.0,1509875.0,503738
2020-11-27 00:00:00+00:00,1628208.0,1538217.0,548244
2020-11-28 00:00:00+00:00,1628208.0,1564532.0,578347
2020-11-29 00:00:00+00:00,1628208.0,1585178.0,607628
2020-11-30 00:00:00+00:00,1648187.0,1601554.0,638847
2020-12-01 00:00:00+00:00,1656444.0,1620901.0,668957
2020-12-02 00:00:00+00:00,1665775.0,1641610.0,700880
2020-12-03 00:00:00+00:00,1675902.0,1664829.0,733261
2020-12-04 00:00:00+00:00,1684647.0,1688939.0,765997
2020-12-05 00:00:00+00:00,1684647.0,1709991.0,797893
2020-12-06 00:00:00+00:00,1684647.0,1728878.0,828295
2020-12-07 00:00:00+00:00,1702328.0,1742557.0,860432
2020-12-08 00:00:00+00:00,1702328.0,1757394.0,893630
2020-12-09 00:00:00+00:00,1712101.0,1770149.0,925342
2020-12-10 00:00:00+00:00,1720056.0,1787147.0,1748567
2020-12-11 00:00:00+00:00,1730575.0,1805873.0,1780673
2020-12-12 00:00:00+00:00,1730575.0,1825775.0,1809809
2020-12-13 00:00:00+00:00,1730575.0,1843712.0,1836728
2020-12-14 00:00:00+00:00,1751884.0,1855737.0,1866345
2020-12-15 00:00:00+00:00,1762212.0,1870576.0,1898447
2020-12-16 00:00:00+00:00,1773290.0,1888144.0,1928165
2020-12-17 00:00:00+00:00,1785421.0,1906377.0,1955680
2020-12-18 00:00:00+00:00,1797236.0,1921778.0,1982090
2020-12-19 00:00:00+00:00,1797236.0,1938083.0,2004285
2020-12-20 00:00:00+00:00,1797236.0,1953185.0,2024601
2020-12-21 00:00:00+00:00,1819249.0,1964054.0,2043704
2020-12-22 00:00:00+00:00,1829903.0,1977370.0,2062960
2020-12-23 00:00:00+00:00,1842289.0,1991278.0,2082610
2020-12-24 00:00:00+00:00,1854951.0,2009317.0,2100712
2020-12-25 00:00:00+00:00,1854951.0,2028354.0,2118255
2020-12-26 00:00:00+00:00,1854951.0,2038759.0,2133373
2020-12-27 00:00:00+00:00,1854951.0,2047696.0,2147578
2020-12-28 00:00:00+00:00,1879413.0,2056277.0,2162775
2020-12-29 00:00:00+00:00,1893502.0,2067487.0,2178580
2020-12-30 00:00:00+00:00,1910218.0,2083689.0,2194272
2020-12-31 00:00:00+00:00,1928265.0,2107166.0,2208652
2021-01-01 00:00:00+00:00,1928265.0,2129376.0,2220855
2021-01-02 00:00:00+00:00,1928265.0,2141201.0,2232035
2021-01-03 00:00:00+00:00,1928265.0,2155446.0,2241912
2021-01-04 00:00:00+00:00,1958844.0,2166244.0,2255607
2021-01-05 00:00:00+00:00,1982544.0,2181619.0,2270101
2021-01-06 00:00:00+00:00,1982544.0,2201945.0,2283931
2021-01-07 00:00:00+00:00,2024904.0,2220361.0,2296102
2021-01-08 00:00:00+00:00,2050360.0,2237890.0,2307581
2021-01-09 00:00:00+00:00,2050360.0,2257866.0,2317118
2021-01-10 00:00:00+00:00,2050360.0,2276491.0,2326256
2021-01-11 00:00:00+00:00,2111782.0,2289021.0,2336476
2021-01-12 00:00:00+00:00,2137220.0,2303263.0,2346285
2021-01-13 00:00:00+00:00,2176089.0,2319036.0,2355839
2021-01-14 00:00:00+00:00,2211967.0,2336279.0,2364801
2021-01-15 00:00:00+00:00,2252164.0,2352423.0,2373115
2021-01-16 00:00:00+00:00,2252164.0,2368733.0,2380665
2021-01-17 00:00:00+00:00,2252164.0,2381277.0,2387101
2021-01-18 00:00:00+00:00,2336451.0,2390102.0,2392963
2021-01-19 00:00:00+00:00,2370742.0,2400598.0,2399781
2021-01-20 00:00:00+00:00,2412318.0,2414166.0,2406216
2021-01-21 00:00:00+00:00,2456675.0,2428221.0,2412505
2021-01-22 00:00:00+00:00,2499560.0,2441854.0,2418472
2021-01-23 00:00:00+00:00,2499560.0,2455185.0,2424328
2021-01-24 00:00:00+00:00,2499560.0,2466813.0,2429605
2021-01-25 00:00:00+00:00,2593382.0,2475372.0,2435247
2021-01-26 00:00:00+00:00,2629817.0,2485956.0,2442350
2021-01-27 00:00:00+00:00,2670102.0,2501147.0,2449839
2021-01-28 00:00:00+00:00,2705001.0,2515507.0,2457118
2021-01-29 00:00:00+00:00,2743119.0,2529070.0,2464030
2021-01-30 00:00:00+00:00,2743119.0,2541783.0,2470901
2021-01-31 00:00:00+00:00,2743119.0,2553032.0,2477463
2021-02-01 00:00:00+00:00,2822805.0,2560957.0,2485182
2021-02-02 00:00:00+00:00,2851869.0,2570608.0,2492977
2021-02-03 00:00:00+00:00,2883465.0,2583790.0,2501079
2021-02-04 00:00:00+00:00,2913425.0,2597446.0,2508988
2021-02-05 00:00:00+00:00,2941990.0,2611659.0,2516889
2021-02-06 00:00:00+00:00,2941990.0,2625098.0,2524786
2021-02-07 00:00:00+00:00,2941990.0,2636738.0,2531456
2021-02-08 00:00:00+00:00,2989085.0,2644707.0,2539559
2021-02-09 00:00:00+00:00,3005487.0,2655319.0,2548195
2021-02-10 00:00:00+00:00,3023601.0,2668266.0,2556837
2021-02-11 00:00:00+00:00,3041454.0,2683403.0,2564427
2021-02-12 00:00:00+00:00,3056035.0,2697296.0,2572190
2021-02-13 00:00:00+00:00,3056035.0,2710819.0,2579896
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,2586183
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,2594128
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,2602034
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,2609359
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,2616600
2021-02-19 00:00:00+00:00,3133122.0,2780882.0,2624019
2021-02-20 00:00:00+00:00,3133122.0,2795796.0,2631876
2021-02-21 00:00:00+00:00,3133122.0,2809246.0,2638422
